Property_ID,City,Location,BHK,Bathrooms,Size_in_SqFt,Age_of_Property,Parking,Floor,Total_Floors,Furnishing,Distance_to_Metro_km,School_Rating,Hospital_Distance_km,Crime_Index,Price_in_Lakhs
770,Chennai,Anna Nagar,2,3,1373,0,3,3,5,Unfurnished,5.5,4.1,4.6,4.7,130.5
771,Hyderabad,Kondapur,5,5,2512,14,1,12,13,Semi-Furnished,4,3.7,2.1,2.6,250.1
772,Hyderabad,Madhapur,1,1,544,21,3,10,23,Unfurnished,10.8,2.7,5.8,3.3,25.9
773,Chennai,Porur,1,1,629,3,0,14,21,Unfurnished,1.3,3,4.7,8.5,42.3
774,Hyderabad,Kukatpally,3,3,1400,10,2,13,15,Furnished,5.7,4.9,2.6,1.3,135.7
775,Chennai,Velachery,5,4,2685,19,1,10,30,Semi-Furnished,11.8,3.8,4.8,4.1,200.9
776,Hyderabad,Madhapur,4,3,1958,7,3,3,22,Furnished,8,2.6,3.9,5.7,204
777,Chennai,Velachery,5,5,3249,10,1,24,30,Furnished,3.6,3.3,7.8,7.2,274.6
778,Pune,Baner,1,1,736,16,0,15,16,Semi-Furnished,6.8,3.5,4.7,8.4,37.8
779,Bengaluru,Indiranagar,5,5,3316,25,2,10,15,Unfurnished,6.2,3.8,1.4,5.4,357.7
780,Bengaluru,HSR Layout,4,3,2141,3,3,12,13,Semi-Furnished,14,4.4,1.3,1.3,245.2
781,Bengaluru,Whitefield,2,3,1332,11,1,17,17,Unfurnished,4.5,3.3,6.7,4,128.5
782,Hyderabad,Gachibowli,1,1,679,13,3,26,28,Semi-Furnished,11.4,4.3,5.9,7.5,57
783,Hyderabad,Madhapur,1,1,795,20,3,10,17,Semi-Furnished,7.7,4,7.6,1.9,62.7
784,Chennai,OMR,5,6,3418,10,3,5,15,Furnished,0.8,4.9,7.1,7.6,296
785,Chennai,Porur,5,5,2657,11,2,1,10,Unfurnished,7.4,3.1,1.6,9.5,168.5
786,Hyderabad,Madhapur,3,3,1546,6,1,4,5,Furnished,14.4,3.8,6.5,1.1,164.8
787,Hyderabad,Kondapur,2,2,1484,13,3,4,21,Furnished,4.6,2.8,5.7,8.6,130.3
788,Pune,Kharadi,3,2,1630,8,0,2,16,Semi-Furnished,3.5,2.7,1.5,4,136
789,Hyderabad,Kondapur,1,2,501,22,2,8,11,Semi-Furnished,13.2,2.6,5.2,1.1,21.5
790,Pune,Wakad,2,2,1381,4,3,7,10,Unfurnished,3.1,4.7,7.6,8.7,106.7
791,Hyderabad,Kukatpally,1,2,735,19,1,5,27,Unfurnished,10.4,4,5.2,3.1,38.5
792,Bengaluru,Electronic City,2,2,1584,15,3,20,30,Semi-Furnished,5.5,3.7,1,2,143.9
793,Chennai,Tambaram,4,4,2306,21,3,2,8,Semi-Furnished,4.9,2.8,5.7,7.3,145.6
794,Pune,Kharadi,5,6,3211,0,2,8,13,Unfurnished,12.8,3.5,4.6,3.9,254.4
795,Pune,Kharadi,4,5,2616,8,0,7,13,Semi-Furnished,5.2,4.5,2.7,4.7,228.5
796,Bengaluru,Marathahalli,2,1,1528,19,2,9,9,Semi-Furnished,14.3,2.6,3.2,8,103.2
797,Chennai,Porur,1,1,715,6,2,6,22,Furnished,12.6,3.5,5.8,3.6,35.5
798,Chennai,Anna Nagar,4,4,2932,23,1,0,5,Furnished,11.4,3.8,4.2,8.1,251.4
799,Chennai,Anna Nagar,1,1,773,24,1,2,6,Semi-Furnished,12.2,3.4,3.4,8.4,47.9
800,Hyderabad,Gachibowli,1,2,460,0,1,6,8,Unfurnished,9.2,3.3,2.8,5.6,36.3
801,Chennai,Tambaram,2,1,1170,20,3,9,17,Semi-Furnished,3.5,3.5,2.4,3.6,76.6
802,Bengaluru,Indiranagar,1,2,822,12,2,17,29,Semi-Furnished,6.9,3.9,0.5,7.9,92.4
803,Pune,Hadapsar,1,1,620,4,0,8,8,Unfurnished,13,3.7,2.2,2.3,36.8
804,Pune,Hadapsar,5,5,2491,24,3,6,13,Semi-Furnished,5.2,2.9,2.8,6.1,181.1
805,Hyderabad,Kondapur,2,3,1458,15,2,7,25,Semi-Furnished,10.7,3.8,6.9,9.9,104.8
806,Hyderabad,Kukatpally,1,2,515,24,0,8,10,Semi-Furnished,2.7,3.6,7.8,1.4,34.9
807,Bengaluru,Marathahalli,4,4,3333,17,3,0,17,Unfurnished,6.6,3.2,7.4,7.1,264.1
808,Chennai,Porur,2,2,1197,16,1,19,30,Furnished,5.7,4,3.9,2.9,84.6
809,Bengaluru,HSR Layout,5,6,2290,10,3,2,10,Semi-Furnished,14.9,2.5,5.7,2.8,251.3
810,Pune,Baner,1,1,769,14,1,5,7,Semi-Furnished,13.3,3.4,0.4,2.7,46.7
811,Pune,Hadapsar,3,3,2628,24,3,8,13,Semi-Furnished,10,2.7,1.5,7.6,153.2
812,Chennai,Porur,1,1,858,16,3,8,15,Furnished,11.1,4,7.3,2.9,39.9
813,Bengaluru,HSR Layout,1,1,523,5,3,2,5,Unfurnished,14.6,2.8,6.5,4.8,39.3
814,Chennai,Porur,1,1,736,12,3,12,29,Semi-Furnished,5.5,4.6,2.7,1.7,60.6
815,Bengaluru,HSR Layout,3,3,2245,17,3,8,20,Semi-Furnished,8.5,3.6,3,1.2,238.9
816,Pune,Baner,4,4,3063,17,1,11,17,Unfurnished,11.3,2.5,3.7,5.7,206
817,Chennai,Anna Nagar,1,1,579,16,0,8,24,Unfurnished,4.3,3.7,0.6,7.3,37.5
818,Hyderabad,Miyapur,1,2,761,20,3,5,20,Semi-Furnished,13.1,4.4,6.5,1.3,35.7
819,Bengaluru,HSR Layout,2,1,1329,3,0,1,19,Semi-Furnished,12.9,3.2,6.9,6.9,129.8
820,Chennai,Anna Nagar,2,2,1428,0,3,1,18,Unfurnished,12.4,3.8,5.9,1.8,118.1
821,Chennai,Porur,2,3,1077,20,0,4,14,Semi-Furnished,1.9,3.7,6.7,1.8,86.9
822,Hyderabad,Gachibowli,1,1,823,2,1,0,15,Semi-Furnished,11.9,3,3.2,1.7,77
823,Bengaluru,Electronic City,2,2,1217,1,3,9,27,Unfurnished,2.3,3.3,2,2.7,121.5
824,Bengaluru,Electronic City,3,4,1891,2,3,11,16,Semi-Furnished,9.7,3.6,5.2,8.5,155.5
825,Pune,Wakad,5,5,4027,11,2,5,11,Semi-Furnished,7.7,4.6,6.4,1.8,298.5
826,Chennai,Velachery,4,4,1864,3,1,4,20,Semi-Furnished,5,3.9,5.4,9.1,158.7
827,Hyderabad,Kondapur,1,1,665,15,2,3,15,Unfurnished,5.5,2.9,4.5,7.8,41.4
828,Pune,Hadapsar,5,6,3885,15,1,11,13,Semi-Furnished,5.2,4.2,2.6,9.7,275.7
829,Hyderabad,Kukatpally,4,4,2982,12,0,8,10,Unfurnished,4.6,4,5.7,5.7,213.9
830,Bengaluru,HSR Layout,3,2,1535,9,1,11,30,Semi-Furnished,2.6,2.5,1.4,8.9,164.1
831,Hyderabad,Madhapur,2,2,1347,2,1,8,9,Furnished,5.7,3.7,3,5.2,145.9
832,Bengaluru,Indiranagar,4,5,3246,7,0,4,17,Semi-Furnished,14,3.5,2.8,3.5,366.8
833,Pune,Hadapsar,4,3,2510,15,0,9,12,Unfurnished,3.7,3.4,4.2,1,167
834,Pune,Hinjewadi,2,2,1411,6,0,4,11,Semi-Furnished,5.2,4.1,3.6,3.6,112.7
835,Pune,Hinjewadi,3,4,1717,5,3,16,26,Furnished,7.1,2.7,5.6,1.9,165.3
836,Hyderabad,Madhapur,3,3,2526,16,3,14,26,Unfurnished,9.9,4.2,3.6,1.5,210.9
837,Hyderabad,Miyapur,4,4,3399,15,2,11,22,Unfurnished,2.8,3.6,6.1,8.8,199.3
838,Hyderabad,Kondapur,5,5,3059,16,3,1,18,Semi-Furnished,0.8,4.7,3.8,1.5,296.8
839,Chennai,Anna Nagar,4,4,3182,9,0,8,22,Unfurnished,5.5,2.5,2.8,6.7,250.8
840,Chennai,OMR,5,6,3268,5,0,3,22,Unfurnished,2.3,3.7,7.2,4.1,242.5
841,Bengaluru,Marathahalli,5,6,2416,2,2,1,16,Unfurnished,14.7,4.1,7.1,4.4,230.3
842,Hyderabad,Kondapur,3,4,2170,0,1,8,28,Semi-Furnished,11.2,2.7,7.3,9.7,185
843,Chennai,Anna Nagar,5,5,2450,11,3,6,11,Unfurnished,10.4,3,4.2,1.4,214.8
844,Bengaluru,Electronic City,3,2,2183,6,0,13,30,Semi-Furnished,4.3,3.7,6.4,6.7,169.9
845,Bengaluru,Whitefield,3,3,1480,19,2,22,28,Semi-Furnished,7,3.6,4.9,5.9,150.9
846,Hyderabad,Kondapur,3,3,2059,14,1,15,19,Unfurnished,10.5,4.2,2.3,1.3,172.7
847,Hyderabad,Kukatpally,5,5,2590,6,2,4,14,Semi-Furnished,6.9,3.7,1.5,6.3,218.7
848,Pune,Kharadi,1,1,734,23,3,6,12,Furnished,2.1,4,6.8,1.9,58.8
849,Hyderabad,Miyapur,3,3,1675,24,3,13,22,Semi-Furnished,3.4,4.8,2.4,7.9,126.7
850,Chennai,Porur,5,6,3172,12,3,14,29,Unfurnished,13.9,2.9,7,4.6,183.8
851,Chennai,Tambaram,2,1,1292,18,3,13,18,Unfurnished,0.6,3.1,5,5.5,63.5
852,Pune,Hinjewadi,3,3,1690,18,3,2,26,Furnished,0.5,4,6.4,4.5,155.9
853,Bengaluru,HSR Layout,4,4,3280,7,1,6,20,Semi-Furnished,4.5,4.7,1.9,5.2,355.9
854,Pune,Wakad,2,3,1412,20,0,19,30,Furnished,13.1,4.8,2.2,7.5,88.3
855,Hyderabad,Kukatpally,5,6,3828,2,3,11,13,Semi-Furnished,10.8,4,7.9,7.4,288.1
856,Hyderabad,Kondapur,4,3,2544,12,3,3,18,Unfurnished,12.7,4.4,4.8,8.1,202.9
857,Chennai,Tambaram,3,3,1847,25,3,4,11,Unfurnished,9.7,2.7,7.2,5.4,84
858,Chennai,Anna Nagar,3,4,2027,25,3,8,27,Semi-Furnished,9,4.4,1.4,3.6,176.1
859,Chennai,Porur,3,3,1978,22,1,20,23,Semi-Furnished,10.8,4.2,1.5,8.2,112
860,Chennai,Tambaram,3,3,1407,6,2,9,9,Unfurnished,5.6,3.8,7,5.7,92.9
861,Bengaluru,Electronic City,2,2,1435,11,3,20,20,Unfurnished,8,2.9,7.2,1.1,116.6
862,Chennai,Velachery,3,3,1809,4,2,24,24,Semi-Furnished,2,3,4.1,6.1,155.5
863,Hyderabad,Miyapur,2,2,1272,21,0,3,17,Furnished,7.7,3.2,7.7,8.6,74.1
864,Hyderabad,Gachibowli,4,4,2301,8,1,20,27,Furnished,3.6,4.3,1.7,9.8,249
865,Chennai,OMR,2,1,1035,16,2,1,6,Unfurnished,8.9,4,3.9,5.8,71.5
866,Chennai,OMR,2,3,1019,14,0,6,20,Unfurnished,8.9,4,2.6,1.1,75.7
867,Hyderabad,Kukatpally,2,3,900,8,3,8,24,Semi-Furnished,2.8,3.8,4.3,9.6,78.8
868,Bengaluru,Electronic City,3,3,2631,14,0,5,29,Semi-Furnished,4.9,4.9,3.9,2.5,210.9
869,Pune,Baner,1,2,625,20,1,1,11,Semi-Furnished,3.4,3.8,2.8,5.8,44.1
870,Chennai,Porur,2,2,1231,5,1,12,29,Semi-Furnished,12.8,4,1.5,9.6,84.4
871,Pune,Baner,2,2,1383,9,2,4,9,Semi-Furnished,5.4,4.4,3.8,4.8,120.5
872,Pune,Hinjewadi,4,3,2637,11,1,8,19,Unfurnished,10.6,3,5.8,3.7,177.4
873,Chennai,Tambaram,4,4,2942,17,1,6,30,Semi-Furnished,6.7,3.2,0.9,2.4,182.1
874,Pune,Hinjewadi,4,5,2311,8,3,0,6,Unfurnished,5.3,3.8,3.7,3.6,188.4
875,Hyderabad,Kondapur,4,4,3589,4,2,6,23,Semi-Furnished,6.7,3.3,4.5,6.9,306.1
876,Chennai,OMR,2,1,1791,25,2,14,16,Semi-Furnished,3.4,3.3,2.1,4.3,113.1
877,Chennai,Anna Nagar,5,4,2824,3,3,12,18,Furnished,12,4.6,0.8,9.9,278.9
878,Pune,Hinjewadi,5,5,4456,15,2,10,23,Semi-Furnished,11.1,3.9,7.8,8,324.2
879,Hyderabad,Miyapur,4,4,3339,2,3,7,13,Semi-Furnished,13.2,4.3,5.3,1.7,233.2
880,Chennai,Tambaram,5,6,2337,12,2,4,5,Furnished,0.5,3.1,3.6,3.3,181.3
881,Chennai,Porur,4,4,3376,18,2,27,27,Semi-Furnished,3,2.9,2.7,1.9,221.6
882,Hyderabad,Madhapur,5,5,2533,10,2,10,12,Unfurnished,4.7,3.6,2.4,9.4,229.8
883,Chennai,OMR,2,3,1026,12,0,6,19,Semi-Furnished,6.8,3.5,1.9,4.4,88.3
884,Hyderabad,Madhapur,5,4,2917,24,1,7,8,Semi-Furnished,5.5,5,3.5,2.9,273.4
885,Chennai,Tambaram,3,2,2285,0,0,13,17,Semi-Furnished,12.9,3.4,7.6,8.5,118.6
886,Chennai,Velachery,1,2,898,15,0,11,13,Semi-Furnished,5,2.9,2.2,6.1,52.6
887,Bengaluru,HSR Layout,4,3,1925,19,1,21,28,Unfurnished,9.3,4.6,3.5,2.6,199.1
888,Bengaluru,HSR Layout,3,2,1682,0,3,4,11,Semi-Furnished,5.7,4.6,5.1,1.3,194.7
889,Hyderabad,Kukatpally,1,1,658,1,3,19,29,Semi-Furnished,2.7,2.8,3,3,59.5
890,Hyderabad,Gachibowli,4,5,2650,17,3,9,9,Furnished,0.2,3.7,7.2,3.3,288.6
891,Chennai,Porur,1,2,702,23,1,3,9,Semi-Furnished,12.1,2.9,5.4,7.7,25.6
892,Chennai,Porur,1,1,565,8,1,21,28,Semi-Furnished,10.7,3.7,4.8,5.7,39.4
893,Chennai,Velachery,3,4,2117,21,1,23,23,Furnished,0.7,4.8,3.3,1.4,186.2
894,Bengaluru,Whitefield,2,1,1755,25,1,6,10,Semi-Furnished,8.7,3.7,2.9,6.7,158
895,Pune,Kharadi,2,3,1536,8,3,4,8,Semi-Furnished,7.8,3.3,8,2.7,122.4
896,Pune,Hadapsar,4,3,3168,10,2,5,7,Semi-Furnished,0.6,3.9,1,9.8,227.4
897,Hyderabad,Miyapur,3,3,2061,9,3,17,18,Furnished,1.4,4.7,4.2,4.6,180.2
898,Bengaluru,HSR Layout,2,1,1103,23,2,19,21,Semi-Furnished,8.5,3.8,0.7,5.8,110.6
899,Bengaluru,Electronic City,2,1,1596,5,1,22,29,Unfurnished,14.1,4,6.9,3.5,116.9
900,Pune,Baner,4,5,2775,14,2,4,9,Unfurnished,3.9,3.9,2.7,9.3,222.8
901,Hyderabad,Gachibowli,4,4,2094,15,1,25,29,Furnished,14.7,3.5,1.5,4.8,217.6
902,Bengaluru,Electronic City,1,1,591,4,3,2,8,Unfurnished,2.3,3.2,2.8,6.7,54.9
903,Hyderabad,Miyapur,4,4,3152,14,2,8,8,Semi-Furnished,6.9,2.7,7.8,9.2,196.9
904,Chennai,OMR,4,4,2031,20,3,18,18,Unfurnished,10.7,4.7,4.1,3.6,151.2
905,Hyderabad,Miyapur,5,5,3238,21,3,13,27,Semi-Furnished,9.6,4.7,2.5,7.5,221.6
906,Chennai,Porur,3,4,1864,11,0,0,5,Semi-Furnished,7.4,4,2,4.9,126.2
907,Pune,Hadapsar,5,6,4375,21,3,4,6,Unfurnished,12.6,4.1,1.1,1.9,280.2
908,Bengaluru,Electronic City,5,6,3862,22,0,14,16,Furnished,8.7,3.8,7.5,8.3,334.3
909,Pune,Hinjewadi,2,2,924,20,2,4,8,Furnished,12.1,4.3,6.8,3.3,78.6
910,Chennai,Anna Nagar,2,2,1356,25,0,14,15,Semi-Furnished,9.6,4.4,1.5,6,113.4
911,Chennai,Tambaram,3,3,2373,2,2,7,16,Semi-Furnished,4.7,4.8,1,4.7,162.2
912,Bengaluru,Indiranagar,2,2,1776,22,3,10,16,Furnished,13.5,4.4,7.7,3.9,193.2
913,Chennai,Porur,5,5,4454,5,3,22,24,Unfurnished,1.6,4.3,7.3,7,284.4
914,Bengaluru,Electronic City,5,5,3875,4,3,4,8,Semi-Furnished,14.6,3.3,2,8.4,309.6
915,Bengaluru,Electronic City,1,2,564,22,1,3,12,Semi-Furnished,12.2,2.9,2.6,9.7,31.3
916,Pune,Kharadi,4,4,2644,5,3,18,25,Furnished,14.7,4.4,5.7,9.8,232.5
917,Chennai,Tambaram,3,3,1830,10,2,2,7,Semi-Furnished,12.4,4.3,6.4,6.2,100.6
918,Pune,Hadapsar,3,2,2587,7,2,22,27,Semi-Furnished,8.4,5,3.9,6.2,165.9
919,Pune,Kharadi,5,6,2514,5,0,14,22,Semi-Furnished,1.1,3.4,7,2.3,238.1
920,Hyderabad,Kondapur,5,5,2362,22,3,4,18,Furnished,3.4,3.6,4.4,7.1,236.3
921,Pune,Wakad,5,5,2277,19,0,24,27,Semi-Furnished,2,4.9,5,5.8,193.3
922,Bengaluru,HSR Layout,5,5,2992,0,3,3,28,Semi-Furnished,1.6,3.5,5.7,7.2,353.9
923,Pune,Kharadi,2,2,1087,3,2,5,16,Semi-Furnished,13.2,3.7,1.7,4.6,84.4
924,Hyderabad,Kondapur,4,3,2872,8,0,1,24,Furnished,1.1,3.4,1.6,9.7,270.3
925,Hyderabad,Kondapur,4,4,1856,25,2,2,7,Unfurnished,9.4,3,2,4.1,158.5
926,Bengaluru,Marathahalli,3,3,2252,22,1,4,21,Furnished,6.8,4.1,7.5,9,210
927,Hyderabad,Kondapur,3,2,2064,21,1,16,23,Unfurnished,1.7,3,1.5,6.5,155.4
928,Pune,Hadapsar,4,5,2038,21,0,7,15,Semi-Furnished,3.7,4.5,1.8,4.6,156.3
929,Pune,Hadapsar,1,1,789,20,2,18,21,Semi-Furnished,8.1,3.5,4.5,2.8,40.1
930,Pune,Wakad,3,4,2177,13,3,7,7,Unfurnished,1.7,3.9,5,3.8,168.9
931,Chennai,OMR,5,4,3020,2,2,23,23,Furnished,8.2,4.1,6,5.8,245.6
932,Chennai,Tambaram,2,2,1450,1,3,16,28,Semi-Furnished,2.8,3.4,5.7,9.2,86.1
933,Bengaluru,HSR Layout,3,2,1766,15,1,20,23,Semi-Furnished,0.9,3.5,7.2,2,192.5
934,Bengaluru,Electronic City,2,3,1746,7,2,1,17,Unfurnished,9.1,4.1,2.3,9.3,134
935,Chennai,Velachery,3,4,1370,13,3,8,17,Furnished,3,4.4,2.3,1.1,149.8
936,Hyderabad,Kukatpally,2,2,972,20,0,2,8,Furnished,7.4,3,2.8,9.5,59.9
937,Pune,Baner,5,5,3416,18,2,1,8,Semi-Furnished,13.3,3,1,8.6,266.1
938,Hyderabad,Kukatpally,4,3,2028,7,0,5,17,Unfurnished,10.5,2.7,3.7,4.3,144.8
939,Pune,Hadapsar,1,1,843,6,2,4,6,Unfurnished,2.5,4.6,2.2,2.6,67.3
940,Hyderabad,Kukatpally,4,4,2397,16,0,2,12,Semi-Furnished,5.2,4.3,0.5,5,196.3
941,Chennai,Porur,2,2,1460,10,0,1,8,Semi-Furnished,8.1,4,1.6,9.4,85.8
942,Bengaluru,Whitefield,2,1,1290,0,0,3,17,Furnished,11.5,2.6,4.5,1.2,139.6
943,Pune,Hadapsar,4,4,3204,19,3,7,19,Semi-Furnished,9.3,3.4,7.9,5.1,215.5
944,Bengaluru,Indiranagar,5,5,3166,4,2,23,25,Unfurnished,14.5,5,7.1,4.3,331.9
945,Chennai,Velachery,1,2,660,22,1,4,17,Furnished,5.4,4.9,3.5,4.8,60.7
946,Pune,Kharadi,4,4,2491,10,3,8,9,Unfurnished,3.4,3,1.8,8.9,197.6
947,Chennai,Tambaram,5,6,3785,20,2,6,11,Unfurnished,1.8,4.1,2.6,8.5,224.7
948,Pune,Hinjewadi,2,2,1245,17,1,12,26,Furnished,6.6,4.9,0.5,2.9,112.8
949,Bengaluru,Electronic City,5,5,3896,18,1,6,9,Semi-Furnished,3.8,4.3,6.2,5.4,326
950,Hyderabad,Gachibowli,1,1,460,0,0,2,15,Semi-Furnished,13.5,3,1.5,2.9,46.5
951,Chennai,Porur,3,4,2322,10,1,4,14,Unfurnished,8.5,4.8,1.5,4.7,149.6
952,Pune,Wakad,5,6,3401,22,1,2,8,Furnished,1.6,2.6,7.1,5.3,263.8
953,Hyderabad,Miyapur,3,4,2547,18,1,0,19,Furnished,14.2,3.9,7.1,9.9,170
954,Hyderabad,Madhapur,2,2,1593,12,1,3,8,Furnished,4.9,4.3,7.6,1.7,163.2
955,Pune,Hinjewadi,5,6,2942,11,2,8,11,Unfurnished,7.9,4.8,4.1,9.2,218.3
956,Bengaluru,Electronic City,3,4,2236,10,0,11,13,Furnished,9.9,4.1,2.9,1.3,211.9
957,Hyderabad,Miyapur,1,1,644,6,3,12,17,Unfurnished,10.1,4.2,2.9,8.2,46.4
958,Pune,Kharadi,3,3,2059,23,2,6,22,Semi-Furnished,4.1,4.8,7.4,1.8,173.7
959,Chennai,Porur,1,1,865,4,0,1,12,Unfurnished,1.2,3.9,2.1,1.8,55.4
960,Hyderabad,Kondapur,5,4,2889,18,3,10,25,Semi-Furnished,1.8,2.8,5.7,2.8,267.9
961,Hyderabad,Madhapur,1,1,451,13,1,0,11,Semi-Furnished,5.9,4.1,1.8,8.4,44.7
962,Pune,Hadapsar,2,3,1194,23,0,5,19,Semi-Furnished,1.4,4.9,2.3,8.9,88.8
963,Bengaluru,Whitefield,1,1,545,10,1,6,10,Semi-Furnished,9,4,4.2,3.6,51.6
964,Chennai,Velachery,5,4,3280,9,1,0,7,Unfurnished,5.3,4.3,5.1,8.4,229.9
965,Pune,Hinjewadi,1,1,751,24,2,21,27,Semi-Furnished,14.4,3.9,5.9,3.9,32.6
966,Pune,Baner,4,4,3363,15,2,6,22,Unfurnished,2.7,4.2,3.5,8.9,252.3
967,Pune,Kharadi,4,5,2112,4,3,0,18,Furnished,11.9,3.5,7,2.3,197.4
968,Pune,Wakad,2,2,1122,3,0,15,17,Unfurnished,5.2,2.6,3.3,3.7,87.7
969,Chennai,Velachery,2,3,1521,23,3,13,18,Furnished,2.6,4.9,0.8,9.7,122.7
970,Chennai,Tambaram,5,5,2829,7,3,6,30,Semi-Furnished,0.4,3.3,1.5,6.7,203.4
971,Pune,Hadapsar,1,1,721,9,2,11,28,Furnished,13,3.4,7.8,1.6,41.3
972,Pune,Wakad,2,2,1604,7,2,15,25,Semi-Furnished,8.4,3.9,2.8,2.7,109.7
973,Chennai,Porur,2,2,1732,7,3,15,23,Furnished,4.8,4.7,3.3,2.3,131.3
974,Pune,Kharadi,5,5,2524,14,3,6,29,Semi-Furnished,4.3,2.9,6.8,1.5,219.6
975,Hyderabad,Kondapur,3,4,2500,4,2,15,15,Furnished,9.2,3.8,6.6,6.8,241.4
976,Hyderabad,Kondapur,1,1,718,25,2,12,12,Semi-Furnished,10.6,4.6,2.6,2.8,48.3
977,Hyderabad,Kukatpally,1,1,688,24,1,12,19,Semi-Furnished,9,4.4,1.1,3.5,37.9
978,Pune,Baner,2,2,1230,0,0,6,6,Semi-Furnished,7.3,2.9,6.7,4.4,92.7
979,Pune,Baner,4,4,2468,19,0,9,25,Semi-Furnished,11.4,2.6,4.2,7.5,193.5
980,Pune,Hinjewadi,1,1,527,3,1,7,27,Unfurnished,5.5,3.4,0.9,4.1,36.7
981,Pune,Hadapsar,1,2,778,25,3,4,27,Semi-Furnished,1.5,3,1.5,7.9,56.6
982,Bengaluru,HSR Layout,1,1,476,20,1,1,20,Unfurnished,11.4,4.9,7.6,2.2,35.4
983,Pune,Kharadi,1,1,702,0,3,2,22,Unfurnished,8.9,3,4.8,1.1,60.7
984,Chennai,Porur,2,3,1117,4,0,23,25,Semi-Furnished,4.1,3.4,3.3,8.5,86.5
985,Chennai,Anna Nagar,2,2,1166,12,0,9,25,Semi-Furnished,6.8,4.9,5.5,7.9,96.5
986,Hyderabad,Gachibowli,4,3,3321,6,1,18,29,Semi-Furnished,4.6,4.2,2,6.3,314.7
987,Pune,Hinjewadi,2,2,1122,16,0,0,14,Unfurnished,2.9,3.3,4.1,7.5,81.6
988,Pune,Kharadi,5,5,4263,15,2,21,30,Furnished,3.9,4,7.1,8.7,364
989,Hyderabad,Kondapur,1,1,677,12,1,0,8,Semi-Furnished,9.8,4.9,6,4.4,50.2
990,Hyderabad,Kondapur,1,1,604,4,2,6,19,Unfurnished,9.6,4.9,6.4,8.9,55.9
991,Bengaluru,Whitefield,1,1,821,7,3,22,23,Semi-Furnished,4.2,4.3,4,7.6,80.2
992,Hyderabad,Kukatpally,4,3,1876,15,3,13,19,Unfurnished,0.4,4.7,5.4,9.6,157
993,Chennai,Tambaram,2,2,924,21,2,3,11,Semi-Furnished,12.2,5,0.6,6.1,62.4
994,Pune,Wakad,1,1,636,2,2,15,19,Semi-Furnished,5.7,4.8,5.9,5.9,51.4
995,Chennai,Tambaram,2,3,1281,14,2,9,29,Unfurnished,10.2,4.7,5.5,4.7,83.6
996,Hyderabad,Miyapur,3,3,2031,11,3,17,19,Furnished,2.6,2.6,4.2,8.7,153.5
997,Chennai,Porur,2,2,1735,25,1,12,27,Unfurnished,6.4,2.8,4.2,1.4,81.8
998,Hyderabad,Kondapur,5,5,3178,21,2,3,20,Semi-Furnished,12.6,3.4,7.5,5.7,272.2
999,Bengaluru,Marathahalli,3,4,1567,7,3,3,9,Semi-Furnished,13.4,4.9,6.5,5.5,161.5
1000,Chennai,Velachery,4,4,3490,6,0,0,11,Unfurnished,4.6,3,6.7,7.1,228.6
1001,Pune,Hinjewadi,4,4,3154,12,0,19,27,Semi-Furnished,5.9,3,3.6,6.3,235.2
1002,Hyderabad,Kukatpally,1,2,613,11,0,11,13,Semi-Furnished,12,4.4,6.2,4.8,40.5
1003,Chennai,Tambaram,1,2,469,15,0,8,20,Semi-Furnished,1.4,4.3,5.8,9.3,30.1
1004,Chennai,Velachery,5,6,2390,10,2,22,22,Furnished,3.4,3.5,0.4,2.2,242.8
1005,Hyderabad,Miyapur,4,3,2828,5,3,11,13,Semi-Furnished,12.1,3.8,5.9,3.3,185.4
1006,Pune,Wakad,4,4,3548,5,0,9,14,Semi-Furnished,1.8,2.9,6.7,2.8,252.2
1007,Hyderabad,Kukatpally,2,3,944,9,1,5,12,Furnished,8.8,3.7,5.8,8.3,86.1
1008,Hyderabad,Gachibowli,2,2,1035,23,0,15,19,Semi-Furnished,10.5,2.6,4.3,7.2,80.5
1009,Hyderabad,Kukatpally,4,3,2371,13,3,1,7,Unfurnished,13.2,4.2,4,5.6,157.1
1010,Bengaluru,Whitefield,1,1,494,18,1,6,26,Semi-Furnished,14.9,3.4,2.3,1.6,40.9
1011,Bengaluru,Marathahalli,4,3,2946,1,1,2,11,Semi-Furnished,11.3,3.5,3.2,5.6,251.4
1012,Chennai,Porur,5,4,3492,25,1,7,15,Furnished,12.1,3,4,5.3,219.1
1013,Pune,Hadapsar,5,4,2848,21,1,4,21,Furnished,1.2,3.8,7.9,6.1,212.9
1014,Pune,Baner,2,2,1316,1,3,6,6,Semi-Furnished,6,3,5.9,4.4,115.5
1015,Bengaluru,HSR Layout,4,5,3123,24,1,9,12,Semi-Furnished,7.6,2.7,4.9,4.8,323
1016,Bengaluru,Whitefield,3,3,2155,8,3,25,25,Furnished,5.3,4.6,5,9.3,247.9
1017,Pune,Hadapsar,4,5,3351,22,1,10,20,Unfurnished,7.4,3.4,4.3,6.7,194.4
1018,Chennai,Anna Nagar,3,3,1991,10,1,6,23,Semi-Furnished,4.7,4.6,4.3,4.7,180.6
1019,Pune,Wakad,5,5,3458,6,2,17,27,Semi-Furnished,3.2,3.7,4.3,2.1,271.7
1020,Chennai,Velachery,2,2,1087,20,3,7,16,Semi-Furnished,10.8,4.8,3.8,4.1,79.5
